HG01762	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG01762.str_profile.json
HG01770	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG01770.str_profile.json
HG01771	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG01771.str_profile.json
HG02016	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02016.str_profile.json
HG02017	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02017.str_profile.json
HG02069	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02069.str_profile.json
HG02070	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02070.str_profile.json
HG02072	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02072.str_profile.json
HG02073	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02073.str_profile.json
HG02075	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02075.str_profile.json
HG02076	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02076.str_profile.json
HG02130	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02130.str_profile.json
HG02131	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02131.str_profile.json
HG02356	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02356.str_profile.json
HG02372	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02372.str_profile.json
HG02373	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02373.str_profile.json
HG02374	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02374.str_profile.json
HG02375	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02375.str_profile.json
HG02381	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02381.str_profile.json
HG02383	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02383.str_profile.json
HG02384	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02384.str_profile.json
HG02385	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02385.str_profile.json
HG02386	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02386.str_profile.json
HG02388	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG02388.str_profile.json
